"filename", "language", "C++", "YAML", "Markdown", "Swift", "HTML", "JSON", "Dart", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\models\car_card_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\screens\about_us_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\screens\car_choose_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 205, 0, 0, 0, 2, 11, 218
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\screens\car_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 274, 0, 274
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\screens\create_new_car.dart", "Dart", 0, 0, 0, 0, 0, 0, 279, 0, 0, 0, 4, 11, 294
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\screens\monitor_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 327, 0, 0, 0, 2, 6, 335
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\screens\profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 448, 0, 0, 0, 1, 10, 459
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\screens\sign_in_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 205, 0, 0, 0, 14, 10, 229
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\screens\sign_up_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 246, 0, 0, 0, 3, 4, 253
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\screens\splash_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 1, 6, 58
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\screens\welcome_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 3, 138
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\services\firebase.dart", "Dart", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 20, 5, 154
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\services\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 12, 6, 86
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\car_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 79
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\custom_app_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 2, 35
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\custom_battary_box.dart", "Dart", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 5, 67
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\custom_battery.dart", "Dart", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 2, 45
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\custom_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 1, 2, 53
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\custom_car_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 3, 52
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\custom_car_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 3, 135
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\custom_close_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 3, 37
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\custom_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 3, 37
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\custom_form_text_filed.dart", "Dart", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 2, 56
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\custom_health_box.dart", "Dart", 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 2, 7, 154
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\custom_heart_rate_box.dart", "Dart", 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 3, 6, 153
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\custom_image_picker.dart", "Dart", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 9, 81
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\custom_lable_text_form_filed.dart", "Dart", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 1, 2, 84
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\custom_list_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 4, 44
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\custom_menu_drawer.dart", "Dart", 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 19, 4, 203
